subj.id,focal.id,date,right.hand,left.hand,both.hands,total
Iyla,259,2024.12.06,6,0,0,6
Iyla,285,2024.06.17,68,0,0,68
Iyla,309,2024.06.21,13,0,0,13
Iyla,325,2024.06.24,1,0,0,1
Iyla,415,2024.10.08,25,0,0,25
Iyla,463,2024.08.19,9,0,0,9
Iyla,481,2024.08.22,3,0,0,3
Iyla,496,2024.08.23,8,0,0,8
Iyla,596,2024.10.09,13,0,0,13
Iyla,627,2024.10.23,46,0,0,46
Iyla,670,2024.10.29,12,0,0,12
Iyla,855,2024.04.12,39,0,0,39
Iyla,981,2025.01.01,8,0,0,8
Iyla,1285,2025.07.03,2,0,0,2
Iyla,1353,2025.03.24,27,0,0,27
Jim_lim,82,2024.04.18,0,24,0,24
Jim_lim,147,2024.05.16,0,48,0,48
Jim_lim,184,2024.05.23,0,63,0,63
Jim_lim,246,2024.10.06,0,19,0,19
Jim_lim,303,2024.06.21,0,6,0,6
Jim_lim,332,2024.06.29,0,1,0,1
Jim_lim,367,2024.01.08,0,24,0,24
Jim_lim,423,2024.12.08,0,4,0,4
Jim_lim,439,2024.08.16,0,48,0,48
Jim_lim,457,2024.08.18,0,4,0,4
Jim_lim,488,2024.08.23,0,12,0,12
Jim_lim,609,2024.10.09,0,17,0,17
Jim_lim,611,2024.10.19,0,53,0,53
Jim_lim,620,2024.10.21,0,6,0,6
Jim_lim,628,2024.10.23,0,31,0,31
Jim_lim,649,2024.10.25,0,1,0,1
Jim_lim,708,2024.02.11,0,11,0,11
Jim_lim,720,2024.04.11,0,2,0,2
Jim_lim,726,2024.06.11,0,2,0,2
Jim_lim,808,2024.11.22,0,2,0,2
Jim_lim,867,2024.07.12,0,63,0,63
Jim_lim,917,2024.12.15,0,1,0,1
Jim_lim,1032,2025.08.01,0,55,0,55
Jim_lim,1044,2025.11.01,0,59,0,59
Jim_lim,1113,2025.01.25,0,6,0,6
Jim_lim,1286,2025.07.03,0,27,0,27
Jim_lim,1293,2025.09.03,0,53,0,53
Kal,314,2024.06.22,40,0,0,40
Kal,1040,2025.11.01,55,0,0,55
Kal,1126,2025.01.26,49,0,0,49
Kal,1159,2025.02.02,30,0,0,30
Kal,1283,2025.07.03,32,0,0,32
Kaya,15,2024.03.04,0,44,0,44
Kaya,59,2024.12.04,0,95,0,95
Kaya,87,2024.04.18,0,21,0,21
Kaya,122,2024.10.05,0,60,0,60
Kaya,135,2024.05.13,0,36,0,36
Kaya,159,2024.05.17,0,63,0,63
Kaya,183,2024.05.23,0,48,0,48
Kaya,271,2024.06.15,0,93,0,93
Kaya,288,2024.06.17,0,10,0,10
Kaya,299,2024.06.19,0,10,0,10
Kaya,304,2024.06.21,0,1,0,1
Kaya,426,2024.12.08,0,4,0,4
Kaya,436,2024.08.15,0,56,0,56
Kaya,442,2024.08.16,0,78,0,78
Kaya,455,2024.08.18,0,13,0,13
Kaya,470,2024.08.22,0,3,0,3
Kaya,536,2024.08.30,0,28,0,28
Kaya,599,2024.10.09,0,2,0,2
Kaya,631,2024.10.23,0,4,0,4
Kaya,661,2024.10.28,0,31,0,31
Kaya,729,2024.11.11,0,20,0,20
Kaya,818,2024.11.24,0,9,0,9
Kaya,868,2024.07.12,0,108,0,108
Kaya,937,2024.12.16,0,45,0,45
Kaya,1033,2025.08.01,0,38,0,38
Kaya,1070,2025.01.16,0,32,0,32
Kaya,1125,2025.01.26,0,86,0,86
Kaya,1311,2025.11.03,0,51,0,51
Lip,68,2024.04.17,0,89,0,89
Lip,85,2024.04.18,0,33,0,33
Lip,154,2024.05.16,0,50,0,50
Lip,193,2024.05.28,0,61,0,61
Lip,233,2024.05.06,0,51,0,51
Lip,256,2024.12.06,0,71,0,71
Lip,274,2024.06.15,0,112,0,112
Lip,289,2024.06.18,0,54,0,54
Lip,302,2024.06.21,0,81,0,81
Lip,323,2024.06.24,0,131,0,131
Lip,330,2024.06.29,0,91,0,91
Lip,335,2024.01.07,0,77,0,77
Lip,359,2024.07.23,0,108,0,108
Lip,365,2024.01.08,0,91,0,91
Lip,427,2024.12.08,0,104,0,104
Lip,441,2024.08.16,0,98,0,98
Lip,449,2024.08.18,0,98,0,98
Lip,464,2024.08.20,0,92,0,92
Lip,483,2024.08.23,0,14,0,14
Lip,507,2024.08.27,0,50,0,50
Lip,526,2024.08.29,0,14,0,14
Lip,529,2024.08.30,0,36,0,36
Lip,553,2024.02.09,0,76,0,76
Lip,572,2024.06.09,0,11,0,11
Lip,644,2024.10.25,0,69,0,69
Lip,755,2024.11.14,0,101,0,101
Lip,865,2024.05.12,0,6,0,6
Lip,1007,2025.05.01,0,94,0,94
Lip,1067,2025.01.15,0,57,0,57
Lip,1121,2025.01.26,0,59,0,59
Lip,1158,2025.02.02,0,35,0,35
Lip,1345,2025.03.21,0,23,0,23
Naina,96,2024.04.19,0,11,0,11
Naina,284,2024.06.17,0,40,0,40
Naina,360,2024.07.25,0,1,0,1
Naina,387,2024.07.08,0,3,0,3
Naina,414,2024.10.08,0,2,0,2
Naina,435,2024.08.13,0,4,0,4
Naina,453,2024.08.18,0,66,0,66
Naina,480,2024.08.22,0,8,0,8
Naina,504,2024.08.27,0,2,0,2
Naina,518,2024.08.29,0,4,0,4
Naina,537,2024.08.30,0,9,0,9
Naina,583,2024.06.09,0,40,0,40
Naina,591,2024.07.09,0,36,0,36
Naina,592,2024.10.09,0,1,0,1
Naina,738,2024.12.11,0,18,0,18
Naina,754,2024.11.14,0,82,0,82
Naina,847,2024.11.30,0,4,0,4
Naina,854,2024.04.12,0,4,0,4
Naina,978,2024.12.30,0,20,0,20
Naina,1027,2025.07.01,0,45,0,45
Naina,1058,2025.01.15,0,30,0,30
Naina,1119,2025.01.25,0,55,0,55
Naina,1135,2025.01.27,0,58,0,58
Naina,1238,2025.02.24,0,35,0,35
Naina,1292,2025.09.03,0,26,0,26
Naina,1320,2025.03.14,0,39,0,39
Naina,1344,2025.03.20,0,21,0,21
Naina,1363,2025.03.26,0,20,0,20
Naina,1369,2025.03.27,0,2,0,2
Oreo,2,2024.03.18,0,5,0,5
Oreo,97,2024.04.19,0,23,0,23
Oreo,186,2024.05.23,0,61,0,61
Oreo,236,2024.10.06,0,29,0,29
Oreo,315,2024.06.22,0,9,0,9
Oreo,364,2024.01.08,0,32,0,32
Oreo,419,2024.11.08,0,68,0,68
Oreo,539,2024.02.09,0,1,0,1
Oreo,594,2024.10.09,0,15,0,15
Oreo,612,2024.10.19,0,38,0,38
Oreo,668,2024.10.29,0,17,0,17
Oreo,1002,2025.05.01,0,1,0,1
Pat,5,2024.03.20,4,0,0,4
Pat,524,2024.08.29,2,0,0,2
Pat,643,2024.10.25,31,0,0,31
Pat,688,2024.10.30,3,0,0,3
Pat,809,2024.11.22,10,0,0,10
Pat,837,2024.11.29,4,0,0,4
Pat,886,2024.09.12,9,0,0,9
Pat,997,2025.03.01,1,0,0,1
Pat,1239,2025.02.24,10,0,0,10
Pat,1330,2025.03.19,54,0,0,54
Pat,1361,2025.03.26,1,0,0,1
Pinky,20,2024.04.04,8,0,0,8
Pinky,151,2024.05.16,15,0,0,15
Pinky,234,2024.05.06,87,0,0,87
Pinky,276,2024.06.15,10,0,0,10
Pinky,291,2024.06.18,70,0,0,70
Pinky,384,2024.06.08,23,0,0,23
Pinky,398,2024.10.08,39,0,0,39
Pinky,421,2024.12.08,54,0,0,54
Pinky,437,2024.08.15,2,0,0,2
Pinky,458,2024.08.19,59,0,0,59
Pinky,501,2024.08.27,28,0,0,28
Pinky,534,2024.08.30,36,0,0,36
Pinky,593,2024.10.09,70,0,0,70
Pinky,639,2024.10.25,14,0,0,14
Pinky,665,2024.10.28,11,0,0,11
Pinky,950,2024.12.19,1,0,0,1
Pinky,966,2024.12.22,30,0,0,30
Pinky,1143,2025.01.30,42,0,0,42
Quindoline,92,2024.04.19,19,0,0,19
Quindoline,161,2024.05.17,47,0,0,47
Quindoline,174,2024.05.20,84,0,0,84
Quindoline,248,2024.11.06,103,0,0,103
Quindoline,290,2024.06.18,71,3,0,74
Quindoline,307,2024.06.21,81,0,0,81
Quindoline,316,2024.06.24,30,0,0,30
Quindoline,370,2024.01.08,52,0,0,52
Quindoline,405,2024.10.08,5,0,0,5
Quindoline,446,2024.08.16,56,0,0,56
