subj.id,focal.id.old,uni.id,date,time,gutt.score,right.hand,left.hand,both.hands,total
Whitney,584,156,2024.06.09,NA,0.8,18,0,0,18
Jim_lim,726,157,2024.06.11,NA,0.8,0,2,0,2
Quindoline,268,158,2024.06.14,12:59:56,0.6,1,0,0,1
Aura,262,159,2024.06.14,NA,0.8,105,0,0,105
Belanda,263,160,2024.06.14,NA,0.8,5,0,0,5
Cacao,264,161,2024.06.14,NA,0.8,18,0,0,18
Harley,261,162,2024.06.14,NA,0.8,0,65,0,65
Robin,266,163,2024.06.14,NA,0.8,0,10,0,10
Vula,265,164,2024.06.14,NA,0.8,0,12,0,12
Kaya,271,165,2024.06.15,NA,0.8,0,93,0,93
Lip,274,166,2024.06.15,NA,0.8,0,112,0,112
Pinky,276,167,2024.06.15,NA,0.8,10,0,0,10
Tutu,275,168,2024.06.15,NA,0.8,83,1,0,84
Whitney,273,169,2024.06.15,NA,0.8,62,0,0,62
Yaiko,272,170,2024.06.15,NA,0.8,24,0,0,24
Aura,279,171,2024.06.17,NA,0.8,62,0,0,62
Dandi,283,172,2024.06.17,NA,0.8,0,1,0,1
Flame,282,173,2024.06.17,NA,0.8,0,47,0,47
Harley,281,174,2024.06.17,NA,0.8,0,52,0,52
Iyla,285,175,2024.06.17,NA,0.8,68,0,0,68
Kaya,288,176,2024.06.17,NA,0.8,0,10,0,10
Naina,284,177,2024.06.17,NA,0.8,0,40,0,40
Santa,280,178,2024.06.17,NA,0.8,0,48,0,48
Vula,278,179,2024.06.17,NA,0.8,0,66,0,66
Whitney,287,180,2024.06.17,NA,0.8,62,0,0,62
Quindoline,290,181,2024.06.18,12:52:47,0.6,1,0,0,1
Cacao,294,182,2024.06.18,NA,0.8,61,0,0,61
Lip,289,183,2024.06.18,NA,0.8,0,54,0,54
Pinky,291,184,2024.06.18,NA,0.8,70,0,0,70
Quindoline,290,185,2024.06.18,NA,0.8,71,3,0,74
Yaiko,292,186,2024.06.18,NA,0.8,64,0,0,64
Betina,298,187,2024.06.19,NA,0.8,0,4,0,4
Kaya,299,188,2024.06.19,NA,0.8,0,10,0,10
Tutu,301,189,2024.06.19,NA,0.8,74,0,0,74
Whitney,300,190,2024.06.19,NA,0.8,54,5,0,59
Granny,308,191,2024.06.21,NA,0.8,0,35,0,35
Granny,308,192,2024.06.21,NA,0.2,0,1,0,1
Iyla,309,193,2024.06.21,NA,0.8,13,0,0,13
Jim_lim,303,194,2024.06.21,NA,0.8,0,6,0,6
Kaya,304,195,2024.06.21,NA,0.8,0,1,0,1
Lip,302,196,2024.06.21,NA,0.8,0,81,0,81
Quindoline,307,197,2024.06.21,NA,0.8,81,0,0,81
Vula,305,198,2024.06.21,NA,0.8,0,34,0,34
Betina,312,199,2024.06.22,NA,0.8,0,75,0,75
Betina,312,200,2024.06.22,NA,0.2,0,1,0,1
Kal,314,201,2024.06.22,NA,0.8,40,0,0,40
Oreo,315,202,2024.06.22,NA,0.8,0,9,0,9
Santa,310,203,2024.06.22,NA,0.8,0,10,0,10
Whitney,313,204,2024.06.22,NA,0.8,66,0,0,66
Aura,324,205,2024.06.24,NA,0.8,44,0,0,44
Iyla,325,206,2024.06.24,NA,0.8,1,0,0,1
Iyla,325,207,2024.06.24,NA,0.2,1,0,0,1
Lip,323,208,2024.06.24,NA,0.8,0,131,0,131
Quindoline,316,209,2024.06.24,NA,0.8,30,0,0,30
Vula,326,210,2024.06.26,NA,0.8,0,88,0,88
Oreo,NA,211,2024.06.29,08:28:00,0.4,1,0,0,1
Jim_lim,332,212,2024.06.29,NA,0.8,0,1,0,1
Lip,330,213,2024.06.29,NA,0.8,0,91,0,91
Pinky,NA,214,2024.06.29,NA,0.6,1,0,0,1
Robin,331,215,2024.06.29,NA,0.8,0,19,0,19
Belanda,NA,216,2024.07.02,NA,0.6,1,0,0,1
Babosa,397,217,2024.07.08,NA,0.8,12,12,55,79
Cacao,394,218,2024.07.08,NA,0.8,34,0,0,34
Naina,387,219,2024.07.08,NA,0.8,0,3,0,3
Robin,388,220,2024.07.08,NA,0.8,0,7,0,7
Taipan,396,221,2024.07.08,NA,0.8,43,0,0,43
Flame,587,222,2024.07.09,NA,0.8,0,23,0,23
Naina,591,223,2024.07.09,NA,0.8,0,36,0,36
Taipan,588,224,2024.07.09,NA,0.8,71,0,0,71
Yaiko,589,225,2024.07.09,NA,0.8,30,0,0,30
Belanda,870,226,2024.07.12,NA,0.8,4,0,0,4
Belanda,870,227,2024.07.12,NA,0.2,3,0,0,3
Granny,871,228,2024.07.12,NA,0.8,0,57,0,57
Iyla,875,229,2024.07.12,NA,0.2,1,0,0,1
Jim_lim,867,230,2024.07.12,NA,0.8,0,63,0,63
Kaya,868,231,2024.07.12,NA,0.8,0,108,0,108
Quindoline,874,232,2024.07.12,NA,0.8,24,0,0,24
Quindoline,874,233,2024.07.12,NA,0.2,0,1,0,1
Tin_tin,869,234,2024.07.12,NA,0.8,8,0,0,8
Tin_tin,869,235,2024.07.12,NA,0.2,1,0,0,1
Whitney,866,236,2024.07.12,NA,0.8,2,0,0,2
Aura,348,237,2024.07.21,NA,0.8,31,0,0,31
Whitney,350,238,2024.07.21,NA,0.8,33,0,0,33
Taipan,357,239,2024.07.23,15:49:10,0.6,2,0,0,2
Babosa,358,240,2024.07.23,NA,0.8,8,9,38,55
Granny,351,241,2024.07.23,NA,0.8,0,30,0,30
Lip,359,242,2024.07.23,NA,0.8,0,108,0,108
Taipan,357,243,2024.07.23,NA,0.8,10,0,0,10
Vula,353,244,2024.07.23,NA,0.8,0,40,0,40
Aura,362,245,2024.07.25,NA,0.8,46,0,0,46
Naina,360,246,2024.07.25,NA,0.8,0,1,0,1
Yaiko,38,247,2024.08.04,NA,0.8,57,0,0,57
Robin,NA,248,2024.08.10,NA,0.6,0,1,0,1
Naina,435,249,2024.08.13,NA,0.8,0,4,0,4
Whitney,433,250,2024.08.13,NA,0.8,95,0,0,95
Yaiko,434,251,2024.08.13,NA,0.8,52,0,0,52
Granny,438,252,2024.08.15,NA,0.8,0,3,0,3
Kaya,436,253,2024.08.15,NA,0.8,0,56,0,56
Pinky,437,254,2024.08.15,NA,0.8,2,0,0,2
Aura,443,255,2024.08.16,NA,0.8,3,0,0,3
Betina,440,256,2024.08.16,NA,0.8,0,9,0,9
Jim_lim,439,257,2024.08.16,NA,0.8,0,48,0,48
Kaya,442,258,2024.08.16,NA,0.8,0,78,0,78
Lip,441,259,2024.08.16,NA,0.8,0,98,0,98
Quindoline,446,260,2024.08.16,NA,0.8,56,0,0,56
Vula,445,261,2024.08.16,NA,0.8,0,111,0,111
Whitney,447,262,2024.08.16,NA,0.8,46,0,0,46
Aura,451,263,2024.08.18,NA,0.8,31,0,0,31
Flame,456,264,2024.08.18,NA,0.8,0,35,0,35
Granny,448,265,2024.08.18,NA,0.8,0,19,0,19
Jim_lim,457,266,2024.08.18,NA,0.8,0,4,0,4
Kaya,455,267,2024.08.18,NA,0.8,0,13,0,13
Lip,449,268,2024.08.18,NA,0.8,0,98,0,98
Naina,453,269,2024.08.18,NA,0.8,0,66,0,66
Quindoline,454,270,2024.08.18,NA,0.8,91,0,0,91
Vula,452,271,2024.08.18,NA,0.8,0,89,0,89
Yaiko,450,272,2024.08.18,NA,0.8,59,0,0,59
Cacao,459,273,2024.08.19,NA,0.8,67,0,0,67
Granny,460,274,2024.08.19,NA,0.8,0,74,0,74
Iyla,463,275,2024.08.19,NA,0.8,9,0,0,9
Pinky,458,276,2024.08.19,NA,0.8,59,0,0,59
Santa,461,277,2024.08.19,NA,0.8,0,35,0,35
Ted,462,278,2024.08.19,NA,0.8,45,0,0,45
Aura,466,279,2024.08.20,NA,0.8,26,0,0,26
Lip,464,280,2024.08.20,NA,0.8,0,92,0,92
Aura,479,281,2024.08.22,NA,0.8,2,0,0,2
Belanda,NA,282,2024.08.22,NA,0.2,1,0,0,1
Betina,467,283,2024.08.22,NA,0.8,0,1,0,1
Granny,469,284,2024.08.22,NA,0.8,0,32,0,32
Iyla,481,285,2024.08.22,NA,0.8,3,0,0,3
Kaya,470,286,2024.08.22,NA,0.8,0,3,0,3
Naina,480,287,2024.08.22,NA,0.8,0,8,0,8
Naina,NA,288,2024.08.22,NA,0.6,0,1,0,1
Santa,468,289,2024.08.22,NA,0.8,0,45,0,45
Cacao,484,290,2024.08.23,NA,0.8,25,0,0,25
Iyla,496,291,2024.08.23,NA,0.8,8,0,0,8
Jim_lim,488,292,2024.08.23,NA,0.8,0,12,0,12
Lip,483,293,2024.08.23,NA,0.8,0,14,0,14
Quindoline,495,294,2024.08.23,NA,0.8,96,0,0,96
Taipan,485,295,2024.08.23,NA,0.8,36,0,0,36
Vula,487,296,2024.08.23,NA,0.8,0,92,0,92
Whitney,486,297,2024.08.23,NA,0.8,5,0,0,5
Aura,497,298,2024.08.24,NA,0.8,10,0,0,10
Dandi,500,299,2024.08.24,NA,0.8,0,1,0,1
Cacao,506,300,2024.08.27,NA,0.8,11,0,0,11
Lip,507,301,2024.08.27,NA,0.8,0,50,0,50
Naina,504,302,2024.08.27,NA,0.8,0,2,0,2
Pinky,501,303,2024.08.27,NA,0.8,28,0,0,28
Robin,505,304,2024.08.27,NA,0.8,0,48,0,48
Vula,503,305,2024.08.27,NA,0.8,0,25,0,25
Aura,522,306,2024.08.29,NA,0.8,62,0,0,62
Granny,525,307,2024.08.29,NA,0.8,0,13,0,13
Lip,526,308,2024.08.29,NA,0.8,0,14,0,14
Naina,518,309,2024.08.29,NA,0.8,0,4,0,4
Pat,524,310,2024.08.29,NA,0.8,2,0,0,2
Quindoline,521,311,2024.08.29,NA,0.8,46,0,0,46
Vula,517,312,2024.08.29,NA,0.8,0,35,0,35
Yaiko,523,313,2024.08.29,NA,0.8,7,0,0,7
Granny,535,314,2024.08.30,NA,0.8,0,31,0,31
Harley,531,315,2024.08.30,NA,0.8,0,45,0,45
Kaya,536,316,2024.08.30,NA,0.8,0,28,0,28
Lip,529,317,2024.08.30,NA,0.8,0,36,0,36
Naina,537,318,2024.08.30,NA,0.8,0,9,0,9
Pinky,534,319,2024.08.30,NA,0.8,36,0,0,36
Vula,533,320,2024.08.30,NA,0.8,0,46,0,46
Aura,116,321,2024.09.05,NA,0.8,50,0,0,50
Bat,103,322,2024.09.05,NA,0.8,4,0,0,4
Granny,114,323,2024.09.05,NA,0.8,0,47,0,47
Iyla,115,324,2024.09.05,NA,0.8,38,0,0,38
Vula,603,325,2024.09.10,12:32:51,0.6,0,2,0,2
Kal,NA,326,2024.09.10,NA,0.6,1,0,0,1
Kal,NA,327,2024.09.10,NA,0.6,1,0,0,1
Ali,885,328,2024.09.12,NA,0.2,1,0,0,1
Aura,891,329,2024.09.12,NA,0.8,65,0,0,65
Belanda,892,330,2024.09.12,NA,0.8,2,0,0,2
Belanda,892,331,2024.09.12,NA,0.2,17,0,0,17
Belanda,NA,332,2024.09.12,NA,0.6,1,0,0,1
Flame,888,333,2024.09.12,NA,0.8,0,28,0,28
Flame,888,334,2024.09.12,NA,0.2,0,1,0,1
Granny,889,335,2024.09.12,NA,0.8,0,56,0,56
Pat,886,336,2024.09.12,NA,0.8,9,0,0,9
Quindoline,890,337,2024.09.12,NA,0.8,98,0,0,98
Quindoline,890,338,2024.09.12,NA,0.2,0,2,0,2
Santa,887,339,2024.09.12,NA,0.8,0,57,0,57
Kaya,122,340,2024.10.05,NA,0.8,0,60,0,60
Taipan,123,341,2024.10.05,NA,0.8,84,0,0,84
Cacao,237,342,2024.10.06,NA,0.8,80,0,0,80
Dandi,244,343,2024.10.06,NA,0.8,0,20,0,20
Iyla,239,344,2024.10.06,NA,0.8,3,0,0,3
Jim_lim,246,345,2024.10.06,NA,0.8,0,19,0,19
Oreo,236,346,2024.10.06,NA,0.8,0,29,0,29
Robin,245,347,2024.10.06,NA,0.8,0,57,0,57
Taipan,235,348,2024.10.06,NA,0.8,67,0,0,67
Ted,240,349,2024.10.06,NA,0.8,29,0,0,29
Vula,238,350,2024.10.06,NA,0.8,0,128,0,128
Aura,413,351,2024.10.08,NA,0.8,33,0,0,33
Betina,403,352,2024.10.08,NA,0.8,0,9,0,9
Cacao,402,353,2024.10.08,NA,0.8,45,0,0,45
