uni.id,focal.id.old,date,time,subj.id,gutt.score,behavior,success,right.hand,left.hand,both.hands,total,species,comments
30,722,2024.04.11,,Dandi,0.2,food.pounding,Y,0,1,0,7,clam,
30,722,2024.04.11,,Dandi,0.2,food.pounding,Y,0,1,0,7,clam,
31,728,2024.11.11,,Pinky,0.2,food.pounding,Y,1,0,0,5,clam,
31,728,2024.11.11,,Pinky,0.2,food.pounding,Y,1,0,0,5,clam,
31,728,2024.11.11,,Pinky,0.2,food.pounding,Y,1,0,0,5,clam,
31,728,2024.11.11,,Pinky,0.2,food.pounding,Y,1,0,0,5,clam,
31,728,2024.11.11,,Pinky,0.2,food.pounding,Y,1,0,0,5,clam,
32,731,2024.11.11,,Flame,0.2,food.pounding,Y,0,1,0,1,clam,
33,736,2024.12.11,,Iyla,0.2,food.pounding,Y,1,0,0,15,clam,
33,736,2024.12.11,,Iyla,0.2,food.pounding,Y,1,0,0,15,clam,
33,736,2024.12.11,,Iyla,0.2,food.pounding,Y,1,0,0,15,clam,
33,736,2024.12.11,,Iyla,0.2,food.pounding,Y,1,0,0,15,clam,
33,736,2024.12.11,,Iyla,0.2,food.pounding,Y,1,0,0,15,clam,
33,736,2024.12.11,,Iyla,0.2,food.pounding,Y,1,0,0,15,clam,
33,736,2024.12.11,,Iyla,0.2,food.pounding,Y,1,0,0,15,clam,
33,736,2024.12.11,,Iyla,0.2,food.pounding,Y,1,0,0,15,clam,
33,736,2024.12.11,,Iyla,0.2,food.pounding,Y,1,0,0,15,clam,
33,736,2024.12.11,,Iyla,0.2,food.pounding,Y,1,0,0,15,clam,
33,736,2024.12.11,,Iyla,0.2,food.pounding,Y,1,0,0,15,clam,
33,736,2024.12.11,,Iyla,0.2,food.pounding,Y,1,0,0,15,clam,
33,736,2024.12.11,,Iyla,0.2,food.pounding,Y,1,0,0,15,clam,
33,736,2024.12.11,,Iyla,0.2,food.pounding,Y,1,0,0,15,clam,
33,736,2024.12.11,,Iyla,0.2,food.pounding,Y,1,0,0,15,clam,
34,737,2024.12.11,,Harley,0.2,food.pounding,Y,0,1,0,3,clam,
34,737,2024.12.11,,Harley,0.2,food.pounding,Y,0,1,0,3,clam,
34,737,2024.12.11,,Harley,0.2,food.pounding,Y,0,1,0,3,clam,
35,738,2024.12.11,,Naina,0.2,food.pounding,Y,0,1,0,4,clam,
35,738,2024.12.11,,Naina,0.2,food.pounding,Y,0,1,0,4,clam,
35,738,2024.12.11,,Naina,0.2,food.pounding,Y,0,1,0,4,clam,
35,738,2024.12.11,,Naina,0.2,food.pounding,Y,0,1,0,4,clam,
36,741,2024.12.11,,Vula,0.2,food.pounding,Y,0,1,0,1,clam,
37,766,2024.11.16,,Granny,0.2,food.pounding,Y,0,1,0,2,clam,
37,766,2024.11.16,,Granny,0.2,food.pounding,Y,0,1,0,2,clam,
38,771,2024.11.18,,Dandi,0.2,food.pounding,Y,0,1,0,1,clam,
39,782,2024.11.18,,Babosa,0.2,food.pounding,Y,1,0,0,1,clam,
40,783,2024.11.19,,Jim_lim,0.2,food.pounding,Y,0,1,0,1,clam,
41,793,2024.11.21,,Pinky,0.2,food.pounding,Y,0,1,0,1,clam,
42,796,2024.11.21,,Cacao,0.2,food.pounding,Y,1,0,0,3,clam,
42,796,2024.11.21,,Cacao,0.2,food.pounding,Y,1,0,0,3,clam,
42,796,2024.11.21,,Cacao,0.2,food.pounding,Y,1,0,0,3,clam,
43,805,2024.11.22,,Dandi,0.2,food.pounding,Y,0,1,0,1,clam,
44,810,2024.11.22,,Robin,0.2,food.pounding,Y,0,1,0,2,clam,
44,810,2024.11.22,,Robin,0.2,food.pounding,Y,0,1,0,2,clam,
45,816,2024.11.24,,Dandi,0.2,food.pounding,Y,0,1,0,1,clam,
46,817,2024.11.24,,Ted,0.2,food.pounding,Y,0,1,0,1,clam,
47,822,2024.11.24,,Granny,0.2,food.pounding,Y,0,1,0,5,clam,
47,822,2024.11.24,,Granny,0.2,food.pounding,Y,0,1,0,5,clam,
47,822,2024.11.24,,Granny,0.2,food.pounding,Y,0,1,0,5,clam,
47,822,2024.11.24,,Granny,0.2,food.pounding,Y,0,1,0,5,clam,
47,822,2024.11.24,,Granny,0.2,food.pounding,Y,0,1,0,5,clam,
48,828,2024.11.26,,Iyla,0.2,food.pounding,Y,1,0,0,27,clam,
48,828,2024.11.26,,Iyla,0.2,food.pounding,Y,1,0,0,27,clam,
48,828,2024.11.26,,Iyla,0.2,food.pounding,Y,1,0,0,27,clam,
48,828,2024.11.26,,Iyla,0.2,food.pounding,Y,1,0,0,27,clam,
48,828,2024.11.26,,Iyla,0.2,food.pounding,Y,1,0,0,27,clam,
48,828,2024.11.26,,Iyla,0.2,food.pounding,Y,1,0,0,27,clam,
48,828,2024.11.26,,Iyla,0.2,food.pounding,Y,1,0,0,27,clam,
48,828,2024.11.26,,Iyla,0.2,food.pounding,Y,1,0,0,27,clam,
48,828,2024.11.26,,Iyla,0.2,food.pounding,Y,1,0,0,27,clam,
48,828,2024.11.26,,Iyla,0.2,food.pounding,Y,1,0,0,27,clam,
48,828,2024.11.26,,Iyla,0.2,food.pounding,Y,1,0,0,27,clam,
48,828,2024.11.26,,Iyla,0.2,food.pounding,Y,1,0,0,27,clam,
48,828,2024.11.26,,Iyla,0.2,food.pounding,Y,1,0,0,27,clam,
48,828,2024.11.26,,Iyla,0.2,food.pounding,Y,1,0,0,27,clam,
48,828,2024.11.26,,Iyla,0.2,food.pounding,Y,1,0,0,27,clam,
48,828,2024.11.26,,Iyla,0.2,food.pounding,Y,1,0,0,27,clam,
48,828,2024.11.26,,Iyla,0.2,food.pounding,Y,1,0,0,27,clam,
48,828,2024.11.26,,Iyla,0.2,food.pounding,Y,1,0,0,27,clam,
48,828,2024.11.26,,Iyla,0.2,food.pounding,Y,1,0,0,27,clam,
48,828,2024.11.26,,Iyla,0.2,food.pounding,Y,1,0,0,27,clam,
48,828,2024.11.26,,Iyla,0.2,food.pounding,Y,1,0,0,27,clam,
48,828,2024.11.26,,Iyla,0.2,food.pounding,Y,1,0,0,27,clam,
48,828,2024.11.26,,Iyla,0.2,food.pounding,Y,1,0,0,27,clam,
48,828,2024.11.26,,Iyla,0.2,food.pounding,Y,1,0,0,27,clam,
48,828,2024.11.26,,Iyla,0.2,food.pounding,Y,1,0,0,27,clam,
48,828,2024.11.26,,Iyla,0.2,food.pounding,Y,1,0,0,27,clam,
48,828,2024.11.26,,Iyla,0.2,food.pounding,Y,1,0,0,27,clam,
49,829,2024.11.26,,Quindoline,0.2,food.pounding,Y,0,1,0,5,clam,
49,829,2024.11.26,,Quindoline,0.2,food.pounding,Y,0,1,0,5,clam,
49,829,2024.11.26,,Quindoline,0.2,food.pounding,Y,0,1,0,5,clam,
49,829,2024.11.26,,Quindoline,0.2,food.pounding,Y,0,1,0,5,clam,
49,829,2024.11.26,,Quindoline,0.2,food.pounding,Y,0,1,0,5,clam,
50,837,2024.11.29,,Pat,0.2,food.pounding,Y,0,1,0,1,clam,
51,838,2024.11.29,,Pinky,0.2,food.pounding,Y,1,0,0,1,clam,
52,846,2024.11.30,,Harley,0.2,food.pounding,Y,0,1,0,9,clam,
52,846,2024.11.30,,Harley,0.2,food.pounding,Y,0,1,0,9,clam,
52,846,2024.11.30,,Harley,0.2,food.pounding,Y,0,1,0,9,clam,
52,846,2024.11.30,,Harley,0.2,food.pounding,Y,0,1,0,9,clam,
52,846,2024.11.30,,Harley,0.2,food.pounding,Y,0,1,0,9,clam,
52,846,2024.11.30,,Harley,0.2,food.pounding,Y,0,1,0,9,clam,
52,846,2024.11.30,,Harley,0.2,food.pounding,Y,0,1,0,9,clam,
52,846,2024.11.30,,Harley,0.2,food.pounding,Y,0,1,0,9,clam,
52,846,2024.11.30,,Harley,0.2,food.pounding,Y,0,1,0,9,clam,
53,848,2024.11.30,,Robin,0.2,food.pounding,Y,0,1,0,11,clam,
53,848,2024.11.30,,Robin,0.2,food.pounding,Y,0,1,0,11,clam,
53,848,2024.11.30,,Robin,0.2,food.pounding,Y,0,1,0,11,clam,
53,848,2024.11.30,,Robin,0.2,food.pounding,Y,0,1,0,11,clam,
53,848,2024.11.30,,Robin,0.2,food.pounding,Y,0,1,0,11,clam,
53,848,2024.11.30,,Robin,0.2,food.pounding,Y,0,1,0,11,clam,
53,848,2024.11.30,,Robin,0.2,food.pounding,Y,0,1,0,11,clam,
53,848,2024.11.30,,Robin,0.2,food.pounding,Y,0,1,0,11,clam,
53,848,2024.11.30,,Robin,0.2,food.pounding,Y,0,1,0,11,clam,
53,848,2024.11.30,,Robin,0.2,food.pounding,Y,0,1,0,11,clam,
53,848,2024.11.30,,Robin,0.2,food.pounding,Y,0,1,0,11,clam,
54,849,2024.02.12,,Granny,0.2,food.pounding,Y,0,1,0,2,clam,
54,849,2024.02.12,,Granny,0.2,food.pounding,Y,0,1,0,2,clam,
55,853,2024.04.12,,Harley,0.2,food.pounding,Y,0,1,0,1,clam,
56,855,2024.04.12,,Iyla,0.2,food.pounding,Y,1,1,0,4,clam,
56,855,2024.04.12,,Iyla,0.2,food.pounding,Y,1,0,0,4,clam,
56,855,2024.04.12,,Iyla,0.2,food.pounding,Y,1,0,0,4,clam,
57,865,2024.05.12,,Lip,0.2,food.pounding,Y,0,1,0,1,clam,
58,869,2024.07.12,,Tin_tin,0.2,food.pounding,Y,1,0,0,1,clam,
59,870,2024.07.12,,Belanda,0.2,food.pounding,Y,1,0,0,3,clam,
59,870,2024.07.12,,Belanda,0.2,food.pounding,Y,1,0,0,3,clam,
59,870,2024.07.12,,Belanda,0.2,food.pounding,Y,1,0,0,3,clam,
60,874,2024.07.12,,Quindoline,0.2,food.pounding,Y,0,1,0,1,clam,
61,875,2024.07.12,,Iyla,0.2,food.pounding,Y,1,0,0,1,clam,
62,885,2024.09.12,,Ali,0.2,food.pounding,Y,1,0,0,1,clam,
63,888,2024.09.12,,Flame,0.2,food.pounding,Y,0,1,0,1,clam,
64,890,2024.09.12,,Quindoline,0.2,food.pounding,Y,0,1,0,2,clam,
64,890,2024.09.12,,Quindoline,0.2,food.pounding,Y,0,1,0,2,clam,
65,892,2024.09.12,,Belanda,0.2,food.pounding,Y,1,0,0,17,clam,
65,892,2024.09.12,,Belanda,0.2,food.pounding,Y,1,0,0,17,clam,
65,892,2024.09.12,,Belanda,0.2,food.pounding,Y,1,0,0,17,clam,
65,892,2024.09.12,,Belanda,0.2,food.pounding,Y,1,0,0,17,clam,
65,892,2024.09.12,,Belanda,0.2,food.pounding,Y,1,0,0,17,clam,
65,892,2024.09.12,,Belanda,0.2,food.pounding,Y,1,0,0,17,clam,
65,892,2024.09.12,,Belanda,0.2,food.pounding,Y,1,0,0,17,clam,
65,892,2024.09.12,,Belanda,0.2,food.pounding,Y,1,0,0,17,clam,
65,892,2024.09.12,,Belanda,0.2,food.pounding,Y,1,0,0,17,clam,
65,892,2024.09.12,,Belanda,0.2,food.pounding,Y,1,0,0,17,clam,
65,892,2024.09.12,,Belanda,0.2,food.pounding,Y,1,0,0,17,clam,
65,892,2024.09.12,,Belanda,0.2,food.pounding,Y,1,0,0,17,clam,
65,892,2024.09.12,,Belanda,0.2,food.pounding,Y,1,0,0,17,clam,
65,892,2024.09.12,,Belanda,0.2,food.pounding,Y,1,0,0,17,clam,
65,892,2024.09.12,,Belanda,0.2,food.pounding,Y,1,0,0,17,clam,
65,892,2024.09.12,,Belanda,0.2,food.pounding,Y,1,0,0,17,clam,
65,892,2024.09.12,,Belanda,0.2,food.pounding,Y,1,0,0,17,clam,
66,899,2024.11.12,,Quindoline,0.2,food.pounding,Y,1,1,0,3,clam,
