subj.id,focal.id.old,date,time,gutt.score,right.hand,left.hand,both.hands,total,comments
Pinky,291,2024.06.18,,0.8,70,0,0,70,
Yaiko,292,2024.06.18,,0.8,64,0,0,64,
Cacao,294,2024.06.18,,0.8,61,0,0,61,
Betina,298,2024.06.19,,0.8,0,4,0,4,
Kaya,299,2024.06.19,,0.8,0,10,0,10,
Whitney,300,2024.06.19,,0.8,54,5,0,59,
Tutu,301,2024.06.19,,0.8,74,0,0,74,
Lip,302,2024.06.21,,0.8,0,81,0,81,
Jim_lim,303,2024.06.21,,0.8,0,6,0,6,
Kaya,304,2024.06.21,,0.8,0,1,0,1,
Vula,305,2024.06.21,,0.8,0,34,0,34,
Quindoline,307,2024.06.21,,0.8,81,0,0,81,
Granny,308,2024.06.21,,0.8,0,35,0,35,
Granny,308,2024.06.21,,0.2,0,1,0,1,
Iyla,309,2024.06.21,,0.8,13,0,0,13,
Santa,310,2024.06.22,,0.8,0,10,0,10,
Betina,312,2024.06.22,,0.8,0,75,0,75,
Betina,312,2024.06.22,,0.2,0,1,0,1,
Whitney,313,2024.06.22,,0.8,66,0,0,66,
Kal,314,2024.06.22,,0.8,40,0,0,40,
Oreo,315,2024.06.22,,0.8,0,9,0,9,
Quindoline,316,2024.06.24,,0.8,30,0,0,30,
Lip,323,2024.06.24,,0.8,0,131,0,131,
Aura,324,2024.06.24,,0.8,44,0,0,44,
Iyla,325,2024.06.24,,0.8,1,0,0,1,
Iyla,325,2024.06.24,,0.2,1,0,0,1,
Vula,326,2024.06.26,,0.8,0,88,0,88,
Lip,330,2024.06.29,,0.8,0,91,0,91,
Robin,331,2024.06.29,,0.8,0,19,0,19,
Jim_lim,332,2024.06.29,,0.8,0,1,0,1,
Whitney,333,2024.01.07,,0.8,50,0,0,50,
Lip,335,2024.01.07,,0.8,0,77,0,77,
Aura,348,2024.07.21,,0.8,31,0,0,31,
Whitney,350,2024.07.21,,0.8,33,0,0,33,
Granny,351,2024.07.23,,0.8,0,30,0,30,
Vula,353,2024.07.23,,0.8,0,40,0,40,
Taipan,357,2024.07.23,,0.8,10,0,0,10,
Taipan,357,2024.07.23,15:49:10,0.6,1,0,0,1,
Taipan,357,2024.07.23,15:50:10,0.6,1,0,0,1,
Babosa,358,2024.07.23,,0.8,8,9,38,55,
Lip,359,2024.07.23,,0.8,0,108,0,108,
Naina,360,2024.07.25,,0.8,0,1,0,1,
Aura,362,2024.07.25,,0.8,46,0,0,46,
Taipan,363,2024.01.08,,0.8,19,0,0,19,
Oreo,364,2024.01.08,,0.8,0,32,0,32,
Lip,365,2024.01.08,,0.8,0,91,0,91,
Granny,366,2024.01.08,,0.8,0,27,0,27,
Jim_lim,367,2024.01.08,,0.8,0,24,0,24,
Santa,368,2024.01.08,,0.8,0,47,0,47,
Yaiko,369,2024.01.08,,0.8,43,0,0,43,
Quindoline,370,2024.01.08,,0.8,52,0,0,52,
Flame,375,2024.06.08,,0.8,0,77,0,77,
Harley,376,2024.06.08,,0.8,0,40,0,40,
Yaiko,378,2024.06.08,,0.8,39,0,0,39,
Robin,379,2024.06.08,,0.8,0,1,0,1,
Pinky,384,2024.06.08,,0.8,23,0,0,23,
Granny,385,2024.06.08,,0.8,0,48,0,48,
Santa,386,2024.06.08,,0.8,0,65,0,65,
Naina,387,2024.07.08,,0.8,0,3,0,3,
Robin,388,2024.07.08,,0.8,0,7,0,7,
Cacao,394,2024.07.08,,0.8,34,0,0,34,
Taipan,396,2024.07.08,,0.8,43,0,0,43,
Babosa,397,2024.07.08,,0.8,12,12,55,79,
Pinky,398,2024.10.08,,0.8,39,0,0,39,
Yaiko,400,2024.10.08,,0.8,51,0,0,51,
Vula,401,2024.10.08,,0.8,0,86,0,86,
Cacao,402,2024.10.08,,0.8,45,0,0,45,
Betina,403,2024.10.08,,0.8,0,9,0,9,
Quindoline,405,2024.10.08,,0.8,5,0,0,5,
Aura,413,2024.10.08,,0.8,33,0,0,33,
Naina,414,2024.10.08,,0.8,0,2,0,2,
Iyla,415,2024.10.08,,0.8,25,0,0,25,
Robin,416,2024.11.08,,0.8,0,38,0,38,
Dandi,417,2024.11.08,,0.8,0,71,0,71,
